Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,hour,day_of_week,month,is_peak_hour,is_weekend,Load_Type_encoded,usage_lag1,usage_lag4,usage_rolling_mean,usage_rolling_std
0.0,16.88,100.0,21.08,36000,10,0,1,1,0,0,3.92,3.89,3.7975000000000003,0.21045585443666448
0.0,22.32,100.0,17.94,36900,10,0,1,1,0,0,3.64,3.6,3.915,0.19399312702601892
0.0,18.0,100.0,20.19,37800,10,0,1,1,0,0,4.07,4.03,3.835,0.19672315572905966
0.0,16.92,100.0,20.81,38700,10,0,1,1,0,0,3.71,3.92,3.7550000000000003,0.21486429825977743
0.0,23.4,100.0,17.71,39600,11,0,1,1,0,0,3.6,3.64,3.8975,0.2892951203644238
0.0,5.65,100.0,52.55,40500,11,0,1,1,0,0,4.21,4.07,3.7525,0.3179491573611518
0.0,4.82,100.0,58.31,41400,11,0,1,1,0,0,3.49,3.71,3.6900000000000004,0.3518522417151834
0.0,6.7,100.0,51.26,42300,11,0,1,1,0,0,3.46,3.6,3.79,0.37389838191679803
0.0,4.57,100.0,60.69,43200,12,0,1,1,0,0,4.0,4.21,3.6100000000000003,0.2603843313258308
0.0,12.89,100.0,26.9,44100,12,0,1,1,0,0,3.49,3.49,3.6375,0.24904818810824542
0.0,23.15,100.0,18.06,45000,12,0,1,1,0,0,3.6,3.46,3.835,0.3529400326778846
0.0,16.67,100.0,21.5,45900,12,0,1,1,0,0,4.25,4.0,3.7525,0.3398406489322112
0.0,16.63,100.0,21.55,46800,13,0,1,1,0,0,3.67,3.49,3.7975,0.3034660881658219
0.0,23.33,100.0,17.92,47700,13,0,1,1,0,0,3.67,3.6,3.96,0.3348631561299821
0.0,16.74,100.0,21.25,48600,13,0,1,1,0,0,4.25,4.25,3.8075,0.29533878851244677
0.0,16.99,100.0,21.11,49500,13,0,1,1,0,0,3.64,3.67,3.8075,0.29533878851244677
0.0,23.4,100.0,17.99,50400,14,0,1,1,0,0,3.67,3.67,3.96,0.3526093211095428
0.0,16.67,100.0,21.33,51300,14,0,1,1,0,0,4.28,4.25,3.8075,0.315317300508551
0.0,18.25,100.0,20.28,52200,14,0,1,1,0,0,3.64,3.64,3.8425,0.2978114616106412
0.0,22.1,100.0,18.24,53100,14,0,1,1,0,0,3.78,3.67,3.9499999999999997,0.29234682599040823
0.0,16.7,100.0,21.3,54000,15,0,1,1,0,0,4.1,4.28,3.79,0.21694853460363905
0.0,19.33,100.0,19.87,54900,15,0,1,1,0,0,3.64,3.64,3.86,0.19663841605003388
0.0,21.35,100.0,18.86,55800,15,0,1,1,0,0,3.92,3.78,3.94,0.21725560982400285
0.0,16.81,100.0,20.94,56700,15,0,1,1,0,0,4.1,4.1,3.815,0.23741665204165058
0.0,20.45,100.0,19.01,57600,16,0,1,1,0,0,3.6,3.64,3.895,0.21126602503320968
0.0,20.77,100.0,18.91,58500,16,0,1,1,0,0,3.96,3.92,3.915,0.21809783737273988
0.0,16.81,100.0,20.94,59400,16,0,1,1,0,0,4.0,4.1,3.79,0.21999999999999914
0.0,21.64,100.0,18.48,60300,16,0,1,1,0,0,3.6,3.6,3.9075,0.2099801577927452
0.0,19.19,100.0,19.52,61200,17,0,1,1,0,0,4.07,3.96,3.8725,0.20998015779274537
0.0,16.96,100.0,20.54,62100,17,0,1,1,0,0,3.82,4.0,3.7625,0.23471614061812268
0.0,23.51,100.0,17.18,63000,17,0,1,1,0,0,3.56,3.6,3.8875,0.2518432051892597
0.0,17.39,100.0,20.27,63900,17,0,1,1,0,0,4.1,4.07,3.77,0.24792471975715974
0.0,17.35,100.0,20.32,64800,18,0,1,1,0,0,3.6,3.82,3.715,0.25735837529276734
0.0,8.96,100.0,40.77,65700,18,0,1,1,0,0,3.6,3.56,3.825,0.26299556396765744
0.0,5.47,100.0,53.01,66600,18,0,1,1,0,0,4.0,4.1,3.655,0.24515301344262477
0.0,16.24,100.0,22.04,67500,18,0,1,1,0,0,3.42,3.6,3.6725,0.24240118261537646
0.0,22.57,100.0,17.75,68400,19,0,1,0,0,0,3.67,3.6,3.79,0.3021037349432581
0.0,17.39,100.0,19.89,69300,19,0,1,0,0,0,4.07,4.0,3.6725,0.2840627864868373
0.0,20.74,100.0,18.25,70200,19,0,1,0,0,0,3.53,3.42,3.7800000000000002,0.23352373184182598
0.0,20.88,100.0,18.63,71100,19,0,1,0,0,0,3.85,3.67,3.8525,0.23300572239038755
0.0,17.35,100.0,20.1,72000,20,0,1,0,0,0,3.96,4.07,3.725,0.21299452262127833
0.0,22.54,100.0,17.6,72900,20,0,1,0,0,0,3.56,3.53,3.85,0.20704266871025973
0.0,19.55,100.0,18.79,73800,20,0,1,0,0,0,4.03,3.85,3.8225000000000002,0.21422340363897296
0.0,17.42,100.0,20.02,74700,20,0,1,0,0,0,3.74,3.96,3.7225,0.22186707732333702
0.0,24.26,100.0,17.1,75600,21,0,1,0,0,0,3.56,3.56,3.885,0.2905741442959663
0.0,17.75,100.0,19.66,76500,21,0,1,0,0,0,4.21,4.03,3.7675,0.30696090956341593
0.0,17.42,100.0,19.86,77400,21,0,1,0,0,0,3.56,3.74,3.715,0.3303028912982744
0.0,25.2,100.0,16.63,78300,21,0,1,0,0,0,3.53,3.56,3.8874999999999997,0.39601136347332216
0.0,17.5,100.0,19.77,79200,22,0,1,0,0,0,4.25,4.21,3.7175,0.35528157846981
1.44,10.08,92.7,33.3,80100,22,0,1,0,0,0,3.53,3.56,3.7175,0.35528157846981
4.21,0.0,65.71,100.0,81000,22,0,1,0,0,0,3.56,3.53,3.7525,0.33708307581366304
3.35,0.0,69.52,100.0,81900,22,0,1,0,0,0,3.67,4.25,3.5,0.18348478592697176
3.74,0.0,68.64,100.0,82800,23,0,1,0,0,0,3.24,3.53,3.5,0.18348478592697176
3.42,0.0,71.82,100.0,83700,23,0,1,0,0,0,3.53,3.56,3.4924999999999997,0.18080837001274763
2.95,0.0,73.94,100.0,84600,23,0,1,0,0,0,3.53,3.67,3.385,0.16743157806499157
3.96,0.0,67.97,100.0,85500,23,0,1,0,0,0,3.24,3.24,3.4924999999999997,0.18080837001274763
3.46,0.0,70.3,100.0,0,0,0,1,0,0,0,3.67,3.53,3.465,0.18156725108528435
3.1,0.0,71.82,100.0,900,0,1,1,0,0,0,3.42,3.53,3.3825,0.2142234036389739
4.61,0.0,64.1,100.0,1800,0,1,1,0,0,0,3.2,3.24,3.5349999999999997,0.28454642269174063
3.67,0.0,66.64,100.0,2700,0,1,1,0,0,0,3.85,3.67,3.4375,0.28964058187116454
3.6,0.0,68.12,100.0,3600,1,1,1,0,0,0,3.28,3.42,3.4200000000000004,0.29314387821227555
4.72,0.0,63.6,100.0,4500,1,1,1,0,0,0,3.35,3.2,3.5925000000000002,0.32211540375047815
3.53,0.0,68.07,100.0,5400,1,1,1,0,0,0,3.89,3.85,3.45,0.295183558711073
3.96,0.0,65.8,100.0,6300,1,1,1,0,0,0,3.28,3.28,3.4949999999999997,0.27355681920459135
4.82,0.0,61.71,100.0,7200,2,1,1,0,0,0,3.46,3.35,3.6025,0.28194266556636455
3.53,0.0,68.4,100.0,8100,2,1,1,0,0,0,3.78,3.89,3.4574999999999996,0.22896506283710621
4.36,0.0,63.67,100.0,9000,2,1,1,0,0,0,3.31,3.28,3.5374999999999996,0.2003954423966109
4.39,0.0,63.83,100.0,9900,2,1,1,0,0,0,3.6,3.46,3.5825,0.19737865470545043
3.71,0.0,66.24,100.0,10800,3,1,1,0,0,0,3.64,3.78,3.4575000000000005,0.1887458608817688
4.57,0.0,63.03,100.0,11700,3,1,1,0,0,0,3.28,3.31,3.5575,0.19050371824892776
4.03,0.0,66.21,100.0,12600,3,1,1,0,0,0,3.71,3.6,3.5475,0.18856917386819483
3.49,0.0,68.04,100.0,13500,3,1,1,0,0,0,3.56,3.64,3.4475000000000002,0.2255918142722969
4.64,0.0,64.25,100.0,14400,4,1,1,0,0,0,3.24,3.28,3.6000000000000005,0.27531799795872447
3.42,0.0,69.22,100.0,15300,4,1,1,0,0,0,3.89,3.71,3.4925,0.300818328342318
3.49,0.0,68.48,100.0,16200,4,1,1,0,0,0,3.28,3.56,3.4225,0.3122365556219618
4.68,0.0,64.59,100.0,17100,4,1,1,0,0,0,3.28,3.24,3.6025,0.37348583194904095
3.42,0.0,68.77,100.0,18000,5,1,1,0,0,0,3.96,3.89,3.4399999999999995,0.34717910843444055
3.78,0.0,67.52,100.0,18900,5,1,1,0,0,0,3.24,3.28,3.485,0.3308070938376824
4.07,0.0,66.97,100.0,19800,5,1,1,0,0,0,3.46,3.28,3.5825,0.3068522988887873
3.42,0.0,68.77,100.0,20700,5,1,1,0,0,0,3.67,3.96,3.4025000000000003,0.20629671188201906
3.96,0.0,67.97,100.0,21600,6,1,1,0,0,0,3.24,3.24,3.5100000000000002,0.2054263858417415
3.78,0.0,68.25,100.0,22500,6,1,1,0,0,0,3.67,3.46,3.5275,0.2027107956342405
3.24,0.0,70.27,100.0,23400,6,1,1,0,0,0,3.53,3.67,3.41,0.22730302828309648
4.07,0.0,68.05,100.0,24300,6,1,1,0,0,0,3.2,3.24,3.545,0.2517273657484759
3.35,0.0,70.71,100.0,25200,7,1,1,0,0,0,3.78,3.67,3.465,0.2495996794869733
3.49,0.0,71.11,100.0,26100,7,1,1,0,0,0,3.35,3.53,3.465,0.2495996794869733
4.57,0.0,80.95,100.0,27000,7,1,1,0,0,0,3.53,3.2,4.24,1.3846058404229478
4.79,0.0,78.4,100.0,27900,7,1,1,0,0,0,6.3,3.78,4.8075,1.584053345061336
4.54,0.0,82.9,100.0,28800,8,1,1,1,0,0,6.05,3.35,5.6525,1.442598927861338
18.83,0.07,83.89,100.0,29700,8,1,1,1,0,0,6.73,3.53,12.024999999999999,11.33347990101305
28.66,0.0,84.97,100.0,30600,8,1,1,1,0,0,29.02,6.3,21.9975,19.33918194581491
35.32,0.0,82.75,100.0,31500,8,1,1,1,0,0,46.19,6.05,33.5,20.34873460439249
12.53,0.11,97.6,100.0,32400,9,1,1,1,0,0,52.06,6.73,45.8675,11.958955849069792
8.32,0.0,98.95,100.0,33300,9,1,1,1,0,1,56.2,29.02,52.8225,4.903035624318276
4.54,0.94,99.61,99.98,34200,9,1,1,1,0,1,56.84,46.19,54.09,2.8369232159743283
2.34,1.15,99.88,99.97,35100,9,1,1,1,0,1,51.26,52.06,53.1075,4.1506575784246635
7.06,0.54,99.12,99.99,36000,10,1,1,1,0,1,48.13,56.2,52.260000000000005,3.621040366156397
7.52,0.14,99.07,100.0,36900,10,1,1,1,0,2,52.81,56.84,51.7475,2.81126750772684
8.35,0.11,98.79,100.0,37800,10,1,1,1,0,2,54.79,51.26,52.235,2.8670716768160327
32.4,0.0,92.72,100.0,38700,10,1,1,1,0,2,53.21,48.13,60.255,13.330770170299026
25.49,0.0,95.0,100.0,39600,11,1,1,1,0,2,80.21,52.81,66.44749999999999,14.427608660712558
70.85,0.0,87.57,100.0,40500,11,1,1,1,0,2,77.58,54.79,84.88,31.530606295048244
78.48,0.0,87.87,100.0,41400,11,1,1,1,0,2,128.52,53.21,107.69500000000001,33.903882275240065
54.29,0.0,85.84,100.0,42300,11,1,1,1,0,2,144.47,80.21,110.35750000000002,31.347812656281732
66.06,0.0,88.15,100.0,43200,12,1,1,1,0,2,90.86,77.58,121.7875,22.499039053553766
5.54,18.9,96.09,71.3,44100,12,1,1,1,0,1,123.3,128.52,94.4625,54.79283187607667
0.0,25.92,100.0,31.03,45000,12,1,1,1,0,1,19.22,144.47,60.46000000000001,55.61103967139381
0.0,25.34,100.0,30.92,45900,12,1,1,1,0,1,8.46,90.86,39.805,55.898764148533154
0.0,25.49,100.0,30.05,46800,13,1,1,1,0,1,8.24,123.3,10.987500000000008,5.491140591899131
27.29,6.52,94.6,99.67,47700,13,1,1,1,0,1,8.03,19.22,26.10000000000001,35.71376485334475
46.8,0.0,90.21,100.0,48600,13,1,1,1,0,1,79.67,8.46,48.447500000000005,47.13692422082717
49.79,0.0,92.85,100.0,49500,13,1,1,1,0,1,97.85,8.24,77.50000000000001,49.830428454910994
43.34,0.0,92.88,100.0,50400,14,1,1,1,0,1,124.45,8.03,102.64500000000001,18.813841535777268
55.26,0.0,91.23,100.0,51300,14,1,1,1,0,1,108.61,79.67,113.50750000000002,12.665981670074837
53.5,0.0,92.38,100.0,52200,14,1,1,1,0,1,123.12,97.85,121.32000000000001,8.852671913044395
27.58,0.0,94.79,100.0,53100,14,1,1,1,0,1,129.1,124.45,110.7275,20.94664551505415
60.91,0.0,92.09,100.0,54000,15,1,1,1,0,1,82.08,108.61,119.5475,26.459931185347745
34.27,0.0,93.03,100.0,54900,15,1,1,1,0,1,143.89,123.12,110.4925,30.689348179240802
62.57,0.0,91.45,100.0,55800,15,1,1,1,0,1,86.9,129.1,113.57749999999999,33.65980825356364
52.88,0.0,91.06,100.0,56700,15,1,1,1,0,1,141.44,82.08,122.19,26.576130894720883
61.16,0.0,90.4,100.0,57600,16,1,1,1,0,1,116.53,143.89,118.545,23.42030813916286
56.77,0.0,92.33,100.0,58500,16,1,1,1,0,1,129.31,86.9,130.93,10.813642617854144
34.85,0.0,92.64,100.0,59400,16,1,1,1,0,1,136.44,141.44,117.0,22.421039226583698
65.27,0.0,91.44,100.0,60300,16,1,1,1,0,1,85.72,116.53,124.7325,27.05878461793887
30.78,0.0,94.27,100.0,61200,17,1,1,1,0,1,147.46,129.31,114.14,32.42966132005295
25.81,0.0,93.36,100.0,62100,17,1,1,1,0,2,86.94,136.44,96.8425,34.92667020582798
50.04,0.0,91.79,100.0,63000,17,1,1,1,0,2,67.25,85.72,104.35749999999999,34.96967674524132
34.63,0.0,95.62,100.0,63900,17,1,1,1,0,2,115.78,147.46,95.77,23.039350395935024
11.74,1.04,98.85,99.99,64800,18,1,1,1,0,2,113.11,86.94,93.2225,24.834569152695295
15.23,0.14,93.98,100.0,65700,18,1,1,1,0,2,76.75,67.25,86.885,34.87616234622159
19.94,0.0,88.24,100.0,66600,18,1,1,1,0,2,41.9,115.78,67.28999999999999,35.24688260447068
8.82,0.5,97.68,99.99,67500,18,1,1,1,0,2,37.4,113.11,49.074999999999996,18.54339505052955
1.98,1.58,99.84,99.9,68400,19,1,1,0,0,2,40.25,76.75,38.6175,3.0872682099234154
6.44,0.43,98.81,99.99,69300,19,1,1,0,0,2,34.92,41.9,38.4825,2.90214145072285
2.52,1.37,99.76,99.93,70200,19,1,1,0,0,2,41.36,37.4,38.1225,3.159117756590235
5.29,0.47,99.11,99.99,71100,19,1,1,0,0,2,35.96,40.25,37.915,2.9958359990722214
4.68,0.5,99.26,99.99,72000,20,1,1,0,0,2,39.42,34.92,38.725,2.265001839588012
1.51,3.96,99.9,99.3,72900,20,1,1,0,0,1,38.16,41.36,36.692499999999995,2.715282367146559
0.0,12.13,100.0,90.55,73800,20,1,1,0,0,1,33.23,35.96,34.1725,6.139768589559135
0.0,23.22,100.0,42.3,74700,20,1,1,0,0,1,25.88,39.42,27.0275,11.912954783204299
0.0,23.51,100.0,36.75,75600,21,1,1,0,0,1,10.84,38.16,19.809999999999995,11.66294130997852
0.0,25.16,100.0,26.73,76500,21,1,1,0,0,1,9.29,33.23,13.247499999999999,8.569703903869923
0.0,26.5,100.0,18.93,77400,21,1,1,0,0,1,6.98,25.88,8.055,2.5238924963905855
0.0,26.42,100.0,18.88,78300,21,1,1,0,0,1,5.11,10.84,6.615,1.9924942492606317
0.0,26.46,100.0,18.71,79200,22,1,1,0,0,1,5.08,9.29,5.5525,0.9520985593256688
1.84,15.44,93.69,30.42,80100,22,1,1,0,0,2,5.04,6.98,5.04,0.07874007876134136
5.22,0.0,66.44,100.0,81000,22,1,1,0,0,2,4.93,5.11,4.9225,0.19872510327084475
5.18,0.0,67.04,100.0,81900,22,1,1,0,0,2,4.64,5.08,4.8225,0.19362764954935294
5.11,0.0,67.54,100.0,82800,23,1,1,0,0,2,4.68,5.04,4.7325,0.13301002469741185
4.54,0.0,70.94,100.0,83700,23,1,1,0,0,0,4.68,4.93,4.6425,0.05188127475308659
4.25,0.0,73.23,100.0,84600,23,1,1,0,0,0,4.57,4.64,4.625,0.0635085296371421
4.25,0.0,73.0,100.0,85500,23,1,1,0,0,0,4.57,4.68,4.59,0.061644140056765356
4.21,0.0,73.84,100.0,0,0,1,1,0,0,0,4.54,4.68,4.5725,0.02872281329079661
4.61,0.0,70.71,100.0,900,0,2,1,0,0,0,4.61,4.57,4.5825,0.034034296476810125
4.54,0.0,71.25,100.0,1800,0,2,1,0,0,0,4.61,4.57,4.5925,0.03500000004768842
4.5,0.0,71.25,100.0,2700,0,2,1,0,0,0,4.61,4.54,4.6000000000000005,0.020000000083456856
4.61,0.0,70.4,100.0,3600,1,2,1,0,0,0,4.57,4.61,4.590000000000001,0.0230940108398584
4.46,0.0,72.1,100.0,4500,1,2,1,0,0,0,4.57,4.61,4.5975,0.03403429647681216
4.57,0.0,71.25,100.0,5400,1,2,1,0,0,0,4.64,4.61,4.605,0.04041451888457436
4.79,0.0,69.34,100.0,6300,1,2,1,0,0,0,4.64,4.57,4.615,0.03316624795388229
4.5,0.0,71.25,100.0,7200,2,2,1,0,0,0,4.61,4.57,4.615,0.03316624795388229
4.39,0.0,72.42,100.0,8100,2,2,1,0,0,0,4.57,4.64,4.6075,0.0287228132908029
4.75,0.0,69.88,100.0,9000,2,2,1,0,0,0,4.61,4.64,4.6075,0.0287228132908029
4.75,0.0,69.88,100.0,9900,2,2,1,0,0,0,4.64,4.61,4.615,0.033166247953882046
4.75,0.0,69.33,100.0,10800,3,2,1,0,0,0,4.64,4.57,4.615,0.033166247953882046
5.11,0.0,67.22,100.0,11700,3,2,1,0,0,0,4.57,4.61,4.6225000000000005,0.03500000004769223
4.72,0.0,70.1,100.0,12600,3,2,1,0,0,0,4.64,4.64,4.6225,0.03500000004769223
4.68,0.0,70.71,100.0,13500,3,2,1,0,0,0,4.64,4.64,4.632499999999999,0.04573474248320639
4.46,0.0,71.57,100.0,14400,4,2,1,0,0,0,4.68,4.57,4.632499999999999,0.04573474248320639
4.32,0.0,72.44,100.0,15300,4,2,1,0,0,0,4.57,4.64,4.6075,0.06396613690074593
4.46,0.0,71.87,100.0,16200,4,2,1,0,0,0,4.54,4.64,4.6,0.06055300710951446
4.32,0.0,72.67,100.0,17100,4,2,1,0,0,0,4.61,4.68,4.5725,0.028722813290798108
4.32,0.0,72.97,100.0,18000,5,2,1,0,0,0,4.57,4.57,4.5825,0.03403429647681079
4.14,0.0,73.89,100.0,18900,5,2,1,0,0,0,4.61,4.54,4.5825000000000005,0.03403429647681079
4.21,0.0,73.55,100.0,19800,5,2,1,0,0,0,4.54,4.61,4.572500000000001,0.028722813290798278
4.43,0.0,71.8,100.0,20700,5,2,1,0,0,0,4.57,4.57,4.572500000000001,0.028722813290798278
4.5,0.0,71.25,100.0,21600,6,2,1,0,0,0,4.57,4.61,4.5625,0.015000000111266426
4.61,0.0,70.94,100.0,22500,6,2,1,0,0,0,4.57,4.54,4.5875,0.03500000004768701
4.36,0.0,72.35,100.0,23400,6,2,1,0,0,0,4.64,4.57,4.5875,0.03500000004768701
4.54,0.0,71.25,100.0,24300,6,2,1,0,0,0,4.57,4.57,4.5975,0.03403429647681106
4.28,0.0,72.76,100.0,25200,7,2,1,0,0,0,4.61,4.57,4.59,0.04396968656553559
4.18,0.0,72.96,100.0,26100,7,2,1,0,0,0,4.54,4.64,4.545,0.06350852963713788
4.25,0.0,82.14,100.0,27000,7,2,1,0,0,0,4.46,4.57,4.9325,0.7940350538043055
4.68,0.0,86.09,100.0,27900,7,2,1,0,0,0,6.12,4.61,5.76,1.6302964965520874
4.36,0.0,91.02,100.0,28800,8,2,1,1,0,0,7.92,4.54,7.0200000000000005,2.215641366889059
21.56,0.0,86.41,100.0,29700,8,2,1,1,0,0,9.58,4.46,15.157499999999999,14.636689914959257
35.86,0.0,90.13,100.0,30600,8,2,1,1,0,0,37.01,6.12,32.275,31.204745899729264
53.32,0.0,89.9,100.0,31500,8,2,1,1,0,0,74.59,7.92,57.665,43.627384748572815
31.82,0.0,95.71,100.0,32400,9,2,1,1,0,0,109.48,9.58,81.54,33.496261482937726
41.26,0.0,94.71,100.0,33300,9,2,1,1,0,1,105.08,37.01,102.73500000000001,20.051833665112472
30.24,0.0,96.68,100.0,34200,9,2,1,1,0,1,121.79,74.59,112.7075,7.170055206668313
21.96,0.0,95.89,100.0,35100,9,2,1,1,0,1,114.48,109.48,103.88750000000002,20.940155005793805
7.13,0.04,99.15,100.0,36000,10,2,1,1,0,1,74.2,105.08,91.1975,32.28436605644707
25.06,0.0,94.87,100.0,36900,10,2,1,1,0,2,54.32,121.79,79.5425,25.19566414418702
12.24,0.0,97.85,100.0,37800,10,2,1,1,0,2,75.17,114.48,65.44,10.791691248363481
15.08,0.0,97.56,100.0,38700,10,2,1,1,0,2,58.07,74.2,63.6475,9.350937118813544
31.64,0.04,92.06,100.0,39600,11,2,1,1,0,2,67.03,54.32,68.715,8.007036488822695
23.9,0.0,92.36,100.0,40500,11,2,1,1,0,2,74.59,75.17,64.3125,8.115353247600398
48.06,0.0,85.32,100.0,41400,11,2,1,1,0,2,57.56,58.07,69.45,9.268890620421516
44.17,0.0,84.28,100.0,42300,11,2,1,1,0,2,78.62,67.03,69.9825,9.143859050386654
44.78,0.0,85.57,100.0,43200,12,2,1,1,0,2,69.16,74.59,69.8475,9.056730002232479
0.5,20.45,99.9,48.27,44100,12,2,1,1,0,1,74.05,57.56,58.275,31.573844132974035
0.0,26.21,100.0,29.89,45000,12,2,1,1,0,1,11.27,78.62,40.6725,35.79532592858096
0.0,25.56,100.0,30.34,45900,12,2,1,1,0,1,8.21,69.16,25.4175,32.454490572697964
0.0,25.74,100.0,28.66,46800,13,2,1,1,0,1,8.14,74.05,8.83,1.642254547872881
21.38,6.08,92.29,99.3,47700,13,2,1,1,0,1,7.7,11.27,18.8275,21.622844979327034
13.64,0.0,96.81,100.0,48600,13,2,1,1,0,1,51.26,8.21,29.949999999999996,25.445478969750354
17.24,0.0,95.55,100.0,49500,13,2,1,1,0,1,52.7,8.14,41.875,22.86344024857166
17.32,0.0,95.71,100.0,50400,14,2,1,1,0,1,55.84,7.7,54.25,2.7430639802975323
30.6,0.0,92.86,100.0,51300,14,2,1,1,0,1,57.2,51.26,60.5775,10.82691822881001
20.45,0.0,94.83,100.0,52200,14,2,1,1,0,1,76.57,52.7,62.685,9.524538484007419
26.42,0.0,92.98,100.0,53100,14,2,1,1,0,1,61.13,55.84,65.41,8.407080349324895
16.42,0.0,95.93,100.0,54000,15,2,1,1,0,1,66.74,57.2,65.06,8.878719877700362
18.25,0.0,95.31,100.0,54900,15,2,1,1,0,1,55.8,76.57,60.2825,4.8468847383316245
28.08,0.0,93.04,100.0,55800,15,2,1,1,0,1,57.46,61.13,62.82,7.415029781914014
28.62,0.0,93.13,100.0,56700,15,2,1,1,0,1,71.28,66.74,64.4225,9.055725168827637
25.81,0.0,93.66,100.0,57600,16,2,1,1,0,1,73.15,55.8,67.7175,7.047781565854933
27.79,0.0,95.05,100.0,58500,16,2,1,1,0,1,68.98,57.46,74.6025,7.138376916358773
41.9,0.0,94.1,100.0,59400,16,2,1,1,0,1,85.0,71.28,85.915,21.508563410883635
39.06,0.0,94.98,100.0,60300,16,2,1,1,0,1,116.53,73.15,97.2825,24.342325792742177
35.64,0.0,94.7,100.0,61200,17,2,1,1,0,1,118.62,68.98,106.30000000000001,15.402248753564098
52.96,0.0,93.57,100.0,62100,17,2,1,1,0,2,105.05,85.0,120.17750000000001,14.809702619116472
